ET468,,,,G R A,N D - L I,V R E,,A U X I L I,A I R E,,le 14/01/26,… 17:03:0,0
TRANSIT,TRANSPOR,T ET,TRRAT,-----,----------,--------,-,--------------,-------,,P,age :   000,1
PERIODE,DE   1/2,6 …,déc.-26,,,,,,,,,,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
Date,,Cod,e,Date,,Date,!,,,!,,Nø lettrag,e
Comptabl,e PiŠce,Jrn,Libell‚,Facture,R‚f‚rence,Ech‚ance,!,D‚bit,Cr‚dit,!,Solde d‚bite,ur/cr‚diteu,r
========,========,====,===============================,========,==========,========,!,==============,=============,!,==============,===========,=
Compte :,411000,,COLLECTIF CLIENTS,,,,!,,,!,,,
--------,--------,----,------------------------------,,,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,,,,!,,,
Compte :,411000,,00080       LECOFRUIT,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
6/1/2026,1,10,FACTURE 2600003    /25A0430,6/1/2026,2600003,6/1/2026,!,"62732,4",,!,,,
9/1/2026,3520010,35,VRMNT RECU LECOFRUIT,9/1/2026,,8/2/2026,!,,"12248677,15",!,,,
13/1/2026,61,10,FACTURE 2600048    /25A0406,9/1/2026,2600048,8/2/2026,!,"10696643,34",,!,,,
12/1/2026,3520014,35,VRMNT RECU LECOFRUIT,12/1/2026,,11/2/2026,!,,"722659,96",!,,,
13/1/2026,73,10,FACTURE 2600079    /25A0417,13/1/2026,2600079,12/2/2026,!,670967,,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"11430342,74","12971337,11",!,,1540994,","
Compte :,411000,,001044      OPHAM,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
9/1/2026,4520004,45,VRMNT RECU OPHAM,9/1/2026,,8/2/2026,!,,"10699691,14",!,,,
13/1/2026,4520005,45,VRMNT RECU OPHAM,13/1/2026,,12/2/2026,!,,"7493361,21",!,,,
14/1/2026,83,10,FACTURE 2600083    /25C1618,13/1/2026,2600083,12/2/2026,!,"268640,09",,!,,,
14/1/2026,84,10,AVOIR   2600082    /25C1618,13/1/2026,2600082,12/2/2026,!,,"282458,35",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"268640,09","18475510,7",!,,18206870,","
Compte :,411000,,001094      STE JB,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
7/1/2026,7,10,FACTURE 2600011    /25C1624,7/1/2026,2600011,6/2/2026,!,"2845156,04",,!,,,
7/1/2026,8,10,FACTURE 2600005    /25C1625,7/1/2026,2600005,6/2/2026,!,"4899315,37",,!,,,
7/1/2026,9,10,FACTURE 2600006    /25C1512,7/1/2026,2600006,6/2/2026,!,1609862,,!,,,
13/1/2026,62,10,FACTURE 2600050    /25C1499,9/1/2026,2600050,8/2/2026,!,"2066950,55",,!,,,
12/1/2026,3520014,35,VRMNT RECU JB,12/1/2026,,11/2/2026,!,,"8184509,1",!,,,
12/1/2026,3520014,35,VRMNT RECU JB,12/1/2026,,11/2/2026,!,,912000,!,,,
12/1/2026,3520014,35,VRMNT RECU JB,12/1/2026,,11/2/2026,!,,"855888,59",!,,,
12/1/2026,3520014,35,VRMNT RECU JB,12/1/2026,,11/2/2026,!,,"17969553,67",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"11421283,96","27921951,36",!,,16500667,","
Compte :,411000,,001148      MADAPROD,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
13/1/2026,74,10,FACTURE 2600080    /25A0418,13/1/2026,2600080,12/2/2026,!,338000,,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,338000,,!,338000,,
Compte :,411000,,00177       PLG CONFECTION,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
ET468,,,,G R A,N D - L I,V R E,,A U X I L I,A I R E,,le 14/01/26,… 17:03:0,0
TRANSIT,TRANSPOR,T ET,TRRAT,-----,----------,--------,-,--------------,-------,,P,age :   000,2
PERIODE,DE   1/2,6 …,déc.-26,,,,,,,,,,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
Date,,Cod,e,Date,,Date,!,,,!,,Nø lettrag,e
